RESOURCE;FIELD;SCHEMA;ANON;BRP;ES;EU;FISO;MO;SO;SP;TP;ORG;ENT;IEN;ID
service_providing_group;name;api;;R;R;R;RCU;R;R;RCU;R;;;;
service_providing_group;service_provider_id;api;;R;R;R;RC;R;R;RC;R;;;;
service_providing_group;bidding_zone;api;;R;R;R;RC;R;R;RC;R;;;;
service_providing_group;status;api;;R;R;R;RCU;R;R;RCU;R;;;;
service_providing_group;additional_information;api;;R;R;R;RCU;R;R;RCU;R;;;;
service_providing_group;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_summary;;api;;;;;;;;;;;;;
service_providing_group_summary;id;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_summary;service_providing_group_id;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_summary;controllable_unit;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_summary;technical_resource;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_membership;;api;;;;;D;;;D;;;;R;
service_providing_group_membership;id;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_membership;controllable_unit_id;api;;R;R;R;RC;R;R;RC;R;;;;
service_providing_group_membership;service_providing_group_id;api;;R;R;R;RC;R;R;RC;R;;;;
service_providing_group_membership;valid_from;api;;R;R;R;RCU;R;R;RCU;R;;;;
service_providing_group_membership;valid_to;api;;R;R;R;RCU;R;R;RCU;R;;;;
service_providing_group_membership;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_membership;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_grid_prequalification;;api;;;;;;;;;;;;R;
service_providing_group_grid_prequalification;id;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_grid_prequalification;service_providing_group_id;api;;R;R;R;RC;R;R;R;R;;;;
service_providing_group_grid_prequalification;impacted_system_operator_id;api;;R;R;R;RC;R;R;R;R;;;;
service_providing_group_grid_prequalification;status;api;;R;R;R;RCU;R;RU;R;R;;;;
service_providing_group_grid_prequalification;prequalified_at;api;;R;R;R;RU;R;RU;R;R;;;;
service_providing_group_grid_prequalification;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_grid_prequalification;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_grid_prequalification_comment;;api;;;;;;;;;;;;R;
service_providing_group_grid_prequalification_comment;id;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_grid_prequalification_comment;service_providing_group_grid_prequalification_id;api;;R;R;R;RC;R;RC;RC;R;;;;
service_providing_group_grid_prequalification_comment;created_by;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_grid_prequalification_comment;created_at;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_grid_prequalification_comment;visibility;api;;R;R;R;RCU;R;RCU;RCU;R;;;;
service_providing_group_grid_prequalification_comment;content;api;;R;R;R;RCU;R;RCU;RCU;R;;;;
service_providing_group_grid_prequalification_comment;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_grid_prequalification_comment;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_grid_suspension;;api;;;;;D;;D;;;;;R;
service_providing_group_grid_suspension;id;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_grid_suspension;impacted_system_operator_id;api;;R;R;R;RC;R;RC;R;R;;;;
service_providing_group_grid_suspension;service_providing_group_id;api;;R;R;R;RC;R;RC;R;R;;;;
service_providing_group_grid_suspension;reason;api;;R;R;R;RCU;R;RCU;R;R;;;;
service_providing_group_grid_suspension;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_grid_suspension;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_grid_suspension_comment;;api;;;;;;;;;;;;R;
service_providing_group_grid_suspension_comment;id;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_grid_suspension_comment;service_providing_group_grid_suspension_id;api;;R;R;R;RC;R;RC;RC;R;;;;
service_providing_group_grid_suspension_comment;created_by;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_grid_suspension_comment;created_at;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_grid_suspension_comment;visibility;api;;R;R;R;RCU;R;RCU;RCU;R;;;;
service_providing_group_grid_suspension_comment;content;api;;R;R;R;RCU;R;RCU;RCU;R;;;;
service_providing_group_grid_suspension_comment;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
service_providing_group_grid_suspension_comment;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
technical_resource;;api;;;;;D;;;D;;;;R;R
technical_resource;id;api;;R;R;R;R;R;R;R;R;;;;
technical_resource;name;api;;R;R;R;RCU;R;R;RCU;R;;;;
technical_resource;controllable_unit_id;api;;R;R;R;RC;R;R;RC;R;;;;
technical_resource;technology;api;;R;R;R;RCU;R;R;RCU;R;;;;
technical_resource;category;api;;R;R;R;R;R;R;R;R;;;;
technical_resource;maximum_active_power;api;;R;R;R;RCU;R;R;RCU;R;;;;
technical_resource;device_type;api;;R;R;R;RCU;R;R;RCU;R;;;;
technical_resource;make;api;;R;R;R;RCU;R;R;RCU;R;;;;
technical_resource;model;api;;R;R;R;RCU;R;R;RCU;R;;;;
technical_resource;business_id;api;;R;R;R;RCU;R;R;RCU;R;;;;
technical_resource;business_id_type;api;;R;R;R;RCU;R;R;RCU;R;;;;
technical_resource;additional_information;api;;R;R;R;RCU;R;R;RCU;R;;;;
technical_resource;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
technical_resource;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
event;;api;;;;;;;;;;;;R;
event;id;api;;R;R;R;R;R;R;R;R;;;;
event;specversion;api;;R;R;R;R;R;R;R;R;;;;
event;time;api;;R;R;R;R;R;R;R;R;;;;
event;type;api;;R;R;R;R;R;R;R;R;;;;
event;source;api;;R;R;R;R;R;R;R;R;;;;
event;subject;api;;R;R;R;R;R;R;R;R;;;;
event;data;api;;R;R;R;R;R;R;R;R;;;;
notification;;api;;;;;;;;;;;;R;
notification;id;api;;R;R;R;R;R;R;R;R;;;;
notification;acknowledged;api;;RU;RU;RU;RU;RU;RU;RU;RU;;;;
notification;event_id;api;;R;R;R;R;R;R;R;R;;;C;
notification;party_id;api;;R;R;R;R;R;R;R;R;;;C;
notification;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
notification;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
accounting_point;;api;;;;;;;;;;;;R;R
accounting_point;id;api;;R;R;R;R;R;R;R;R;;;;
accounting_point;business_id;api;;R;R;R;R;R;R;R;R;;;;
accounting_point;system_operator_id;api;;R;R;R;R;R;R;R;R;;;;
accounting_point;location;api;;R;R;R;R;R;R;R;R;;;;
accounting_point;recorded_at;api;;R;R;R;R;R;R;R;R;;;;
accounting_point;recorded_by;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_balance_responsible_party;;api;;;;;;;;;;;;;
accounting_point_balance_responsible_party;accounting_point_id;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_balance_responsible_party;balance_responsible_party_id;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_balance_responsible_party;energy_direction;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_balance_responsible_party;valid_from;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_balance_responsible_party;valid_to;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_bidding_zone;;api;;;;;;;;;;;;;
accounting_point_bidding_zone;accounting_point_id;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_bidding_zone;bidding_zone;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_bidding_zone;valid_from;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_bidding_zone;valid_to;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_end_user;;api;;;;;;;;;;;;;
accounting_point_end_user;accounting_point_id;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_end_user;end_user_id;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_end_user;valid_from;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_end_user;valid_to;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_energy_supplier;;api;;;;;;;;;;;;;
accounting_point_energy_supplier;accounting_point_id;api;;R;R;R;R;R;R;R;R;;;;
accounting_point_energy_supplier;energy_supplier_id;api;;R;R;R;R;R;R;R;R;;;;
